FY,Total_MWh_Dispatched,Total_Revenue,VWAP,State,Fuel_Type,% of total MWh dispatched in FY,% of total revenue in FY
2020,3005815.5591666666,124877221.08950834,41.54520416553082,QLD,Solar,1.5977370628048746,0.9446517833211753
2021,3064697.5608333335,109742939.37631667,35.808733879266065,QLD,Solar,1.6579327681343612,0.966449875561825
2022,3418240.8008333333,347609474.3004917,101.69250633710415,QLD,Solar,1.8437714181064893,1.3497392510068726
2023,4988974.0225,321110542.2997,64.36404375960048,QLD,Solar,2.699813271456577,1.2230560889147677
2024,5979825.585833333,183133286.66300833,30.62518865046251,QLD,Solar,3.2324137008467533,1.0258237544664328
2025,0.0033333333333333335,0.2091,62.73,QLD,Solar,0.00017709999641372508,9.668451943595124e-05
2020,898945.365,43300773.57656667,48.16841519235896,QLD,Wind,0.4778331533739716,0.32755495855382005
2021,1592448.9516666667,81879940.7316,51.417623557668186,QLD,Wind,0.8614792311941798,0.721074713150447
2022,1837970.21,279051915.43930835,151.82613620234267,QLD,Wind,0.9913862533333014,1.083535838875012
2023,2125001.694166667,292967681.1762417,137.86703416776845,QLD,Wind,1.1499574361190967,1.1158646606607456
2024,2861855.8666666667,239836799.18146667,83.804639491092,QLD,Wind,1.5469852724764444,1.3434493001169974
2025,18.6675,1171.012275,62.730000000000004,QLD,Wind,0.9918042549159638,0.5414574799711859
2020,23417.595,3485379.726575,148.83593838628605,VIC,Battery,0.012447589919198872,0.026365658568752087
2021,24893.13,2036085.8957916666,81.79308491104439,VIC,Battery,0.01346662602400686,0.01793076594999335
2022,89237.9925,19364840.684083335,217.0021998655263,VIC,Battery,0.048134250793738516,0.07519209772230619
2023,144319.27,29105775.363575,201.6762928718736,VIC,Battery,0.07809924018760012,0.11085900676465923
2024,188565.62916666668,27318206.898375,144.87373451409522,VIC,Battery,0.10192974936779534,0.1530233311290341
2025,0.0008333333333333334,0.1593416666666667,191.21,VIC,Battery,4.427499910343127e-05,7.367705627828884e-05
2020,33731129.69833333,2484435352.5587835,73.65408080837389,VIC,Coal-Brown,17.92973488507952,18.793870218000926
2021,34123836.69583333,1573019857.2412,46.09739142941311,VIC,Coal-Brown,18.460231689910806,13.85278045154236
2022,32549143.485,3134157536.92875,96.290015691906,VIC,Coal-Brown,17.556744518074744,12.169678214164176
2023,31499904.615833335,3405514617.1956916,108.11190251934667,VIC,Coal-Brown,17.04636266853665,12.971032836916379
2024,32181674.121666666,2319393107.1595917,72.07185985386741,VIC,Coal-Brown,17.39590609356613,12.992114042316357
2025,372.305,71188.43905,191.21,VIC,Coal-Brown,19.78056424944357,32.91640372522599
2020,2311973.3358333334,366314668.185925,158.44242773409394,VIC,Gas,1.2289261979539567,2.771040238879975
2021,1178740.9483333332,128622735.20939167,109.11874690639725,VIC,Gas,0.6376724634623364,1.1327145704679806
2022,1529168.2525,372380402.23391664,243.5182666296668,VIC,Gas,0.8248209771377125,1.4459227448051568
2023,1205614.3708333333,354860526.60410833,294.33999393921044,VIC,Gas,0.6524254614185263,1.3516041070167664
2024,983716.2958333333,242447578.73040834,246.46087470272545,VIC,Gas,0.5317509661035972,1.3580736195281802
2025,41.64333333333334,7962.621766666668,191.21,VIC,Gas,2.2125102551966673,3.68178985633865
2020,2197976.8,339635024.45729166,154.52166030928612,VIC,Hydro,1.168331498529759,2.5692182187650148
2021,2703936.0525,223827021.3321,82.77822292622432,VIC,Hydro,1.4627688688343683,1.971129971031785
2022,2559682.3966666665,475515355.70755,185.77123330878374,VIC,Hydro,1.3806719647292716,1.8463873614104978
2023,2910757.41,562533937.3343917,193.26032990650074,VIC,Hydro,1.5751738634170394,2.1425972263342565
2024,2544381.6975,373959891.233375,146.97476074474673,VIC,Hydro,1.3753736026460668,2.094741740483204
2025,47.98583333333334,9175.371191666669,191.21000000000004,VIC,Hydro,2.549487273372883,4.242545931672707
2020,693599.3258333333,49129169.01856667,70.83220411083853,VIC,Solar,0.36868175302400324,0.3716446980607547
2021,1157418.0658333334,33879174.10205,29.27133686794254,VIC,Solar,0.6261372614053295,0.29835653921011807
2022,1519996.3608333333,72869614.51405,47.94065064346566,VIC,Solar,0.819873733017039,0.28294677270600005
2023,1560130.61,80278501.35489167,51.4562696484057,VIC,Solar,0.8442740545626172,0.3057673198390796
2024,1634455.31,43411507.85435,26.560229324563178,VIC,Solar,0.8835100057068753,0.24317018924115463
2025,0.0,0.0,,VIC,Solar,0.0,0.0
2020,4157472.2158333333,253061415.34344167,60.869057495966324,VIC,Wind,2.2098985503488464,1.9143196429924976
2021,5833722.3225,209803877.71268332,35.96398081950074,VIC,Wind,3.1559131714255386,1.847635325426406
2022,7713601.676666667,593845123.9728416,76.98675001189122,VIC,Wind,4.160654304585295,2.3058522051452983
2023,9128385.1425,657766753.13795,72.05729632019083,VIC,Wind,4.939880473127586,2.505323016645842
2024,8856696.778333334,384145952.5033917,43.373501669736605,VIC,Wind,4.7875155553622015,2.1517991100397365
2025,46.77333333333333,8943.529066666668,191.21000000000004,VIC,Wind,2.48506714967739,4.135345814787796
2020,47257.79083333333,5287812.107891667,111.89291785857037,SA,Battery,0.025119812721187164,0.04000041876337714
2021,84735.70833333333,7230309.814116667,85.32777923651827,SA,Battery,0.04584012115006516,0.06367363640739605
2022,88133.21916666666,19021373.19158333,215.82524014710572,SA,Battery,0.0475383450006213,0.07385844144896937
2023,74396.00916666667,21810800.9907,293.1716530901282,SA,Battery,0.04025984741265945,0.08307367539146909
2024,133380.74916666668,25549911.775775,191.5562173357488,SA,Battery,0.0720993873227583,0.1431182004194643
2025,0.028333333333333335,5.7936000000000005,204.48,SA,Battery,0.0015053499695166631,0.002678868636079039
2020,3935.8333333333335,4427930.853758333,1125.0300708257462,SA,Diesel,0.002092086711878265,0.03349572276618421
2021,7284.9575,7227795.315183333,992.1533948802492,SA,Diesel,0.0039409989122815795,0.0636514925027856
2022,25449.155,18405571.576608334,723.2291829181886,SA,Diesel,0.013727068202018603,0.07146733397919233
2023,8322.346666666666,5598258.4470833335,672.6778721566513,SA,Diesel,0.004503687908374766,0.02132282556650959
2024,5448.839166666667,5043077.390008333,925.5324364975597,SA,Diesel,0.0029453873065746366,0.028248870953770197
2025,0.0,0.0,,SA,Diesel,0.0,0.0
2020,6269861.0408333335,569273444.4520583,90.7952250846688,SA,Gas,3.3327358802923506,4.306351228888818
